,sentence_num,t_i-2,t_i-1,t_i,t_i+1,t_i+2,w_i-2,w_i-1,w_i,w_i+1,w_i+2,"t_i-2,i-1","t_i-1,i+1","t_i+1,i+2",tag_prediction
219517,9923,start,start,CNJ,ADJ,N,,,Although,modern,scholars,start_start,start_ADJ,ADJ_N,CNJ
219518,9923,start,CNJ,ADJ,N,V,,Although,modern,scholars,have,start_CNJ,CNJ_N,N_V,ADJ
219519,9923,CNJ,ADJ,N,V,VN,Although,modern,scholars,have,expressed,CNJ_ADJ,ADJ_V,V_VN,N
219520,9923,ADJ,N,V,VN,N,modern,scholars,have,expressed,surprise,ADJ_N,N_VN,VN_N,V
219521,9923,N,V,VN,N,CNJ,scholars,have,expressed,surprise,that,N_V,V_N,N_CNJ,VN
219522,9923,V,VN,N,CNJ,``,have,expressed,surprise,that,``,V_VN,VN_CNJ,CNJ_``,N
219523,9923,VN,N,CNJ,``,DET,expressed,surprise,that,``,the,VN_N,N_``,``_DET,CNJ
219524,9923,N,CNJ,``,DET,ADJ,surprise,that,``,the,simple,N_CNJ,CNJ_DET,DET_ADJ,``
219525,9923,CNJ,``,DET,ADJ,ADJ,that,``,the,simple,magic,CNJ_``,``_ADJ,ADJ_ADJ,DET
219526,9923,``,DET,ADJ,ADJ,N,``,the,simple,magic,square,``_DET,DET_ADJ,ADJ_N,ADJ
219527,9923,DET,ADJ,ADJ,N,P,the,simple,magic,square,of,DET_ADJ,ADJ_N,N_P,N
219528,9923,ADJ,ADJ,N,P,NUM,simple,magic,square,of,three,ADJ_ADJ,ADJ_P,P_NUM,N
219529,9923,ADJ,N,P,NUM,'',magic,square,of,three,'',ADJ_N,N_NUM,NUM_'',P
219530,9923,N,P,NUM,'',",",square,of,three,'',",",N_P,P_'',"''_,",NUM
219531,9923,P,NUM,'',",",DET,of,three,'',",",a,P_NUM,"NUM_,",",_DET",''
219532,9923,NUM,'',",",DET,ADJ,three,'',",",a,mere,NUM_'',''_DET,DET_ADJ,","
219533,9923,'',",",DET,ADJ,``,'',",",a,mere,``,"''_,",",_ADJ",ADJ_``,DET
219534,9923,",",DET,ADJ,``,ADJ,",",a,mere,``,mathematical,",_DET",DET_``,``_ADJ,ADJ
219535,9923,DET,ADJ,``,ADJ,N,a,mere,``,mathematical,puzzle,DET_ADJ,ADJ_ADJ,ADJ_N,ADJ
219536,9923,ADJ,``,ADJ,N,'',mere,``,mathematical,puzzle,'',ADJ_``,``_N,N_'',ADJ
219537,9923,``,ADJ,N,'',",",``,mathematical,puzzle,'',",",``_ADJ,ADJ_'',"''_,",N
219538,9923,ADJ,N,'',",",V,mathematical,puzzle,'',",",was,ADJ_N,"N_,",",_V",ADV
219539,9923,N,'',",",V,ADJ,puzzle,'',",",was,able,N_'',''_V,V_ADJ,","
219540,9923,'',",",V,ADJ,TO,'',",",was,able,to,"''_,",",_ADJ",ADJ_TO,V
219541,9923,",",V,ADJ,TO,V,",",was,able,to,exert,",_V",V_TO,TO_V,ADJ
219542,9923,V,ADJ,TO,V,DET,was,able,to,exert,a,V_ADJ,ADJ_V,V_DET,TO
219543,9923,ADJ,TO,V,DET,ADJ,able,to,exert,a,considerable,ADJ_TO,TO_DET,DET_ADJ,V
219544,9923,TO,V,DET,ADJ,N,to,exert,a,considerable,influence,TO_V,V_ADJ,ADJ_N,DET
219545,9923,V,DET,ADJ,N,P,exert,a,considerable,influence,on,V_DET,DET_N,N_P,ADJ
219546,9923,DET,ADJ,N,P,DET,a,considerable,influence,on,the,DET_ADJ,ADJ_P,P_DET,N
219547,9923,ADJ,N,P,DET,N,considerable,influence,on,the,minds,ADJ_N,N_DET,DET_N,P
219548,9923,N,P,DET,N,CNJ,influence,on,the,minds,and,N_P,P_N,N_CNJ,DET
219549,9923,P,DET,N,CNJ,N,on,the,minds,and,imaginations,P_DET,DET_CNJ,CNJ_N,N
219550,9923,DET,N,CNJ,N,P,the,minds,and,imaginations,of,DET_N,N_N,N_P,CNJ
219551,9923,N,CNJ,N,P,DET,minds,and,imaginations,of,the,N_CNJ,CNJ_P,P_DET,N
219552,9923,CNJ,N,P,DET,VN,and,imaginations,of,the,cultured,CNJ_N,N_DET,DET_VN,P
219553,9923,N,P,DET,VN,NP,imaginations,of,the,cultured,Chinese,N_P,P_VN,VN_NP,DET
219554,9923,P,DET,VN,NP,P,of,the,cultured,Chinese,for,P_DET,DET_NP,NP_P,VN
219555,9923,DET,VN,NP,P,DET,the,cultured,Chinese,for,so,DET_VN,VN_P,P_DET,N
219556,9923,VN,NP,P,DET,DET,cultured,Chinese,for,so,many,VN_NP,NP_DET,DET_DET,CNJ
219557,9923,NP,P,DET,DET,N,Chinese,for,so,many,centuries,NP_P,P_DET,DET_N,DET
219558,9923,P,DET,DET,N,",",for,so,many,centuries,",",P_DET,DET_N,"N_,",DET
219559,9923,DET,DET,N,",",PRO,so,many,centuries,",",they,DET_DET,"DET_,",",_PRO",N
219560,9923,DET,N,",",PRO,MOD,many,centuries,",",they,could,DET_N,N_PRO,PRO_MOD,","
219561,9923,N,",",PRO,MOD,V,centuries,",",they,could,have,"N_,",",_MOD",MOD_V,PRO
219562,9923,",",PRO,MOD,V,VN,",",they,could,have,found,",_PRO",PRO_V,V_VN,MOD
219563,9923,PRO,MOD,V,VN,DET,they,could,have,found,most,PRO_MOD,MOD_VN,VN_DET,V
219564,9923,MOD,V,VN,DET,P,could,have,found,most,of,MOD_V,V_DET,DET_P,VN
219565,9923,V,VN,DET,P,DET,have,found,most,of,the,V_VN,VN_P,P_DET,DET
219566,9923,VN,DET,P,DET,N,found,most,of,the,answers,VN_DET,DET_DET,DET_N,P
219567,9923,DET,P,DET,N,DET,most,of,the,answers,right,DET_P,P_N,N_DET,DET
219568,9923,P,DET,N,DET,P,of,the,answers,right,within,P_DET,DET_DET,DET_P,N
219569,9923,DET,N,DET,P,DET,the,answers,right,within,the,DET_N,N_P,P_DET,ADV
219570,9923,N,DET,P,DET,N,answers,right,within,the,square,N_DET,DET_DET,DET_N,P
219571,9923,DET,P,DET,N,PRO,right,within,the,square,itself,DET_P,P_N,N_PRO,DET
219572,9923,P,DET,N,PRO,.,within,the,square,itself,.,P_DET,DET_PRO,PRO_.,N
219573,9923,DET,N,PRO,.,end,the,square,itself,.,,DET_N,N_.,._end,PRO
219574,9923,N,PRO,.,end,end,square,itself,.,,,N_PRO,PRO_end,end_end,.
229274,10346,start,start,CNJ,",",DET,,,and,",",most,start_start,"start_,",",_DET",CNJ
229275,10346,start,CNJ,",",DET,ADV,,and,",",most,pervasively,start_CNJ,CNJ_DET,DET_ADV,","
229276,10346,CNJ,",",DET,ADV,",",and,",",most,pervasively,",","CNJ_,",",_ADV","ADV_,",DET
229277,10346,",",DET,ADV,",",(,",",most,pervasively,",",(,",_DET","DET_,",",_(",N
229278,10346,DET,ADV,",",(,NUM,most,pervasively,",",(,3,DET_ADV,ADV_(,(_NUM,","
229279,10346,ADV,",",(,NUM,),pervasively,",",(,3,),"ADV_,",",_NUM",NUM_),(
229280,10346,",",(,NUM,),PRO,",",(,3,),their,",_(",(_),)_PRO,NUM
229281,10346,(,NUM,),PRO,N,(,3,),their,interpretation,(_NUM,NUM_PRO,PRO_N,)
229282,10346,NUM,),PRO,N,P,3,),their,interpretation,of,NUM_),)_N,N_P,PRO
229283,10346,),PRO,N,P,WH,),their,interpretation,of,who,)_PRO,PRO_P,P_WH,N
229284,10346,PRO,N,P,WH,V,their,interpretation,of,who,is,PRO_N,N_WH,WH_V,P
229285,10346,N,P,WH,V,DET,interpretation,of,who,is,a,N_P,P_V,V_DET,WH
229286,10346,P,WH,V,DET,``,of,who,is,a,``,P_WH,WH_DET,DET_``,V
229287,10346,WH,V,DET,``,ADJ,who,is,a,``,real,WH_V,V_``,``_ADJ,DET
229288,10346,V,DET,``,ADJ,N,is,a,``,real,pro,V_DET,DET_ADJ,ADJ_N,``
229289,10346,DET,``,ADJ,N,'',a,``,real,pro,'',DET_``,``_N,N_'',ADJ
229290,10346,``,ADJ,N,'',",",``,real,pro,'',",",``_ADJ,ADJ_'',"''_,",N
229291,10346,ADJ,N,'',",",P,real,pro,'',",",of,ADJ_N,"N_,",",_P",''
229292,10346,N,'',",",P,WH,pro,'',",",of,what,N_'',''_P,P_WH,","
229293,10346,'',",",P,WH,PRO,'',",",of,what,it,"''_,",",_WH",WH_PRO,P
229294,10346,",",P,WH,PRO,VBZ,",",of,what,it,means,",_P",P_PRO,PRO_VBZ,WH
229295,10346,P,WH,PRO,VBZ,TO,of,what,it,means,to,P_WH,WH_VBZ,VBZ_TO,PRO
229296,10346,WH,PRO,VBZ,TO,V,what,it,means,to,be,WH_PRO,PRO_TO,TO_V,N
229297,10346,PRO,VBZ,TO,V,DET,it,means,to,be,a,PRO_VBZ,VBZ_V,V_DET,TO
229298,10346,VBZ,TO,V,DET,ADJ,means,to,be,a,professional,VBZ_TO,TO_DET,DET_ADJ,V
229299,10346,TO,V,DET,ADJ,N,to,be,a,professional,man,TO_V,V_ADJ,ADJ_N,DET
229300,10346,V,DET,ADJ,N,P,be,a,professional,man,in,V_DET,DET_N,N_P,ADJ
229301,10346,DET,ADJ,N,P,DET,a,professional,man,in,a,DET_ADJ,ADJ_P,P_DET,N
229302,10346,ADJ,N,P,DET,ADJ,professional,man,in,a,technical,ADJ_N,N_DET,DET_ADJ,P
229303,10346,N,P,DET,ADJ,",",man,in,a,technical,",",N_P,P_ADJ,"ADJ_,",DET
229304,10346,P,DET,ADJ,",",VN,in,a,technical,",",fragmented,P_DET,"DET_,",",_VN",ADJ
229305,10346,DET,ADJ,",",VN,N,a,technical,",",fragmented,society,DET_ADJ,ADJ_VN,VN_N,","
229306,10346,ADJ,",",VN,N,.,technical,",",fragmented,society,.,"ADJ_,",",_N",N_.,VN
229307,10346,",",VN,N,.,end,",",fragmented,society,.,,",_VN",VN_.,._end,N
229308,10346,VN,N,.,end,end,fragmented,society,.,,,VN_N,N_end,end_end,.
233162,10512,start,start,P,N,",",,,For,instance,",",start_start,start_N,"N_,",P
233163,10512,start,P,N,",",PRO,,For,instance,",",we,start_P,"P_,",",_PRO",N
233164,10512,P,N,",",PRO,MOD,For,instance,",",we,cannot,P_N,N_PRO,PRO_MOD,","
233165,10512,N,",",PRO,MOD,V,instance,",",we,cannot,know,"N_,",",_MOD",MOD_V,PRO
233166,10512,",",PRO,MOD,V,CNJ,",",we,cannot,know,whether,",_PRO",PRO_V,V_CNJ,MOD
233167,10512,PRO,MOD,V,CNJ,ADV,we,cannot,know,whether,even,PRO_MOD,MOD_CNJ,CNJ_ADV,V
233168,10512,MOD,V,CNJ,ADV,P,cannot,know,whether,even,for,MOD_V,V_ADV,ADV_P,CNJ
233169,10512,V,CNJ,ADV,P,N,know,whether,even,for,church,V_CNJ,CNJ_P,P_N,DET
233170,10512,CNJ,ADV,P,N,N,whether,even,for,church,members,CNJ_ADV,ADV_N,N_N,P
233171,10512,ADV,P,N,N,DET,even,for,church,members,the,ADV_P,P_N,N_DET,N
233172,10512,P,N,N,DET,N,for,church,members,the,degree,P_N,N_DET,DET_N,N
233173,10512,N,N,DET,N,P,church,members,the,degree,of,N_N,N_N,N_P,DET
233174,10512,N,DET,N,P,N,members,the,degree,of,conformity,N_DET,DET_P,P_N,N
233175,10512,DET,N,P,N,P,the,degree,of,conformity,to,DET_N,N_N,N_P,P
233176,10512,N,P,N,P,ADJ,degree,of,conformity,to,Christian,N_P,P_P,P_ADJ,N
233177,10512,P,N,P,ADJ,N,of,conformity,to,Christian,standards,P_N,N_ADJ,ADJ_N,P
233178,10512,N,P,ADJ,N,P,conformity,to,Christian,standards,of,N_P,P_N,N_P,ADJ
233179,10512,P,ADJ,N,P,N,to,Christian,standards,of,morality,P_ADJ,ADJ_P,P_N,N
233180,10512,ADJ,N,P,N,VD,Christian,standards,of,morality,increased,ADJ_N,N_N,N_VD,P
233181,10512,N,P,N,VD,CNJ,standards,of,morality,increased,or,N_P,P_VD,VD_CNJ,N
233182,10512,P,N,VD,CNJ,VD,of,morality,increased,or,declined,P_N,N_CNJ,CNJ_VD,VD
233183,10512,N,VD,CNJ,VD,CNJ,morality,increased,or,declined,as,N_VD,VD_VD,VD_CNJ,N
233184,10512,VD,CNJ,VD,CNJ,DET,increased,or,declined,as,the,VD_CNJ,CNJ_CNJ,CNJ_DET,VD
233185,10512,CNJ,VD,CNJ,DET,N,or,declined,as,the,proportion,CNJ_VD,VD_DET,DET_N,CNJ
233186,10512,VD,CNJ,DET,N,P,declined,as,the,proportion,of,VD_CNJ,CNJ_N,N_P,DET
233187,10512,CNJ,DET,N,P,N,as,the,proportion,of,church,CNJ_DET,DET_P,P_N,N
233188,10512,DET,N,P,N,N,the,proportion,of,church,members,DET_N,N_N,N_N,P
233189,10512,N,P,N,N,P,proportion,of,church,members,in,N_P,P_N,N_P,N
233190,10512,P,N,N,P,DET,of,church,members,in,the,P_N,N_P,P_DET,N
233191,10512,N,N,P,DET,N,church,members,in,the,population,N_N,N_DET,DET_N,P
233192,10512,N,P,DET,N,VD,members,in,the,population,rose,N_P,P_N,N_VD,DET
233193,10512,P,DET,N,VD,.,in,the,population,rose,.,P_DET,DET_VD,VD_.,N
233194,10512,DET,N,VD,.,end,the,population,rose,.,,DET_N,N_.,._end,N
233195,10512,N,VD,.,end,end,population,rose,.,,,N_VD,VD_end,end_end,.
237346,10685,start,start,(,NUM,),,,(,3,),start_start,start_NUM,NUM_),(
237347,10685,start,(,NUM,),end,,(,3,),,start_(,(_),)_end,NUM
237348,10685,(,NUM,),end,end,(,3,),,,(_NUM,NUM_end,end_end,)
238661,10773,start,start,NP,NUM,.,,,Galatians,15,.,start_start,start_NUM,NUM_.,P
238662,10773,start,NP,NUM,.,end,,Galatians,15,.,,start_NP,NP_.,._end,NUM
238663,10773,NP,NUM,.,end,end,Galatians,15,.,,,NP_NUM,NUM_end,end_end,.
242998,11043,start,start,DET,``,N,,,The,``,pull,start_start,start_``,``_N,DET
242999,11043,start,DET,``,N,'',,The,``,pull,'',start_DET,DET_N,N_'',``
243000,11043,DET,``,N,'',N,The,``,pull,'',exercise,DET_``,``_'',''_N,N
243001,11043,``,N,'',N,P,``,pull,'',exercise,in,``_N,N_N,N_P,''
243002,11043,N,'',N,P,DET,pull,'',exercise,in,this,N_'',''_P,P_DET,N
243003,11043,'',N,P,DET,NP,'',exercise,in,this,Super-Set,''_N,N_DET,DET_NP,P
243004,11043,N,P,DET,NP,V,exercise,in,this,Super-Set,is,N_P,P_NP,NP_V,DET
243005,11043,P,DET,NP,V,DET,in,this,Super-Set,is,the,P_DET,DET_V,V_DET,N
243006,11043,DET,NP,V,DET,N,this,Super-Set,is,the,one-dumbbell,DET_NP,NP_DET,DET_N,V
243007,11043,NP,V,DET,N,N,Super-Set,is,the,one-dumbbell,Bent-Arm,NP_V,V_N,N_N,DET
243008,11043,V,DET,N,N,N,is,the,one-dumbbell,Bent-Arm,Pullover,V_DET,DET_N,N_N,N
243009,11043,DET,N,N,N,.,the,one-dumbbell,Bent-Arm,Pullover,.,DET_N,N_N,N_.,N
243010,11043,N,N,N,.,end,one-dumbbell,Bent-Arm,Pullover,.,,N_N,N_.,._end,N
243011,11043,N,N,.,end,end,Bent-Arm,Pullover,.,,,N_N,N_end,end_end,.
244206,11102,start,start,UH,",",PRO,,,Oh,",",you'll,start_start,"start_,",",_PRO",UH
244207,11102,start,UH,",",PRO,V,,Oh,",",you'll,wobble,start_UH,UH_PRO,PRO_V,","
244208,11102,UH,",",PRO,V,CNJ,Oh,",",you'll,wobble,and,"UH_,",",_V",V_CNJ,PRO
244209,11102,",",PRO,V,CNJ,V,",",you'll,wobble,and,weave,",_PRO",PRO_CNJ,CNJ_V,V
244210,11102,PRO,V,CNJ,V,DET,you'll,wobble,and,weave,quite,PRO_V,V_V,V_DET,CNJ
244211,11102,V,CNJ,V,DET,DET,wobble,and,weave,quite,a,V_CNJ,CNJ_DET,DET_DET,V
244212,11102,CNJ,V,DET,DET,N,and,weave,quite,a,bit,CNJ_V,V_DET,DET_N,P
244213,11102,V,DET,DET,N,P,weave,quite,a,bit,at,V_DET,DET_N,N_P,DET
244214,11102,DET,DET,N,P,ADV,quite,a,bit,at,first,DET_DET,DET_P,P_ADV,N
244215,11102,DET,N,P,ADV,.,a,bit,at,first,.,DET_N,N_ADV,ADV_.,P
244216,11102,N,P,ADV,.,end,bit,at,first,.,,N_P,P_.,._end,NUM
244217,11102,P,ADV,.,end,end,at,first,.,,,P_ADV,ADV_end,end_end,.
244900,11142,start,start,DET,ADV,CNJ,,,As,soon,as,start_start,start_ADV,ADV_CNJ,DET
244901,11142,start,DET,ADV,CNJ,PRO,,As,soon,as,they,start_DET,DET_CNJ,CNJ_PRO,ADV
244902,11142,DET,ADV,CNJ,PRO,V,As,soon,as,they,are,DET_ADV,ADV_PRO,PRO_V,CNJ
244903,11142,ADV,CNJ,PRO,V,ADJ,soon,as,they,are,large,ADV_CNJ,CNJ_V,V_ADJ,PRO
244904,11142,CNJ,PRO,V,ADJ,DET,as,they,are,large,enough,CNJ_PRO,PRO_ADJ,ADJ_DET,V
244905,11142,PRO,V,ADJ,DET,TO,they,are,large,enough,to,PRO_V,V_DET,DET_TO,ADJ
244906,11142,V,ADJ,DET,TO,V,are,large,enough,to,move,V_ADJ,ADJ_TO,TO_V,DET
244907,11142,ADJ,DET,TO,V,",",large,enough,to,move,",",ADJ_DET,DET_V,"V_,",TO
244908,11142,DET,TO,V,",",PRO,enough,to,move,",",I,DET_TO,"TO_,",",_PRO",V
244909,11142,TO,V,",",PRO,V,to,move,",",I,put,TO_V,V_PRO,PRO_V,","
244910,11142,V,",",PRO,V,PRO,move,",",I,put,mine,"V_,",",_V",V_PRO,PRO
244911,11142,",",PRO,V,PRO,NUM,",",I,put,mine,9,",_PRO",PRO_PRO,PRO_NUM,V
244912,11142,PRO,V,PRO,NUM,N,I,put,mine,9,inches,PRO_V,V_NUM,NUM_N,N
244913,11142,V,PRO,NUM,N,ADV,put,mine,9,inches,apart,V_PRO,PRO_N,N_ADV,NUM
244914,11142,PRO,NUM,N,ADV,WH,mine,9,inches,apart,where,PRO_NUM,NUM_ADV,ADV_WH,N
244915,11142,NUM,N,ADV,WH,PRO,9,inches,apart,where,they,NUM_N,N_WH,WH_PRO,ADV
244916,11142,N,ADV,WH,PRO,V,inches,apart,where,they,are,N_ADV,ADV_PRO,PRO_V,WH
244917,11142,ADV,WH,PRO,V,TO,apart,where,they,are,to,ADV_WH,WH_V,V_TO,PRO
244918,11142,WH,PRO,V,TO,V,where,they,are,to,bloom,WH_PRO,PRO_TO,TO_V,V
244919,11142,PRO,V,TO,V,.,they,are,to,bloom,.,PRO_V,V_V,V_.,P
244920,11142,V,TO,V,.,end,are,to,bloom,.,,V_TO,TO_.,._end,V
244921,11142,TO,V,.,end,end,to,bloom,.,,,TO_V,V_end,end_end,.
245583,11178,start,start,ADV,DET,PRO,,,Probably,no,one,start_start,start_DET,DET_PRO,ADV
245584,11178,start,ADV,DET,PRO,VBZ,,Probably,no,one,needs,start_ADV,ADV_PRO,PRO_VBZ,DET
245585,11178,ADV,DET,PRO,VBZ,TO,Probably,no,one,needs,to,ADV_DET,DET_VBZ,VBZ_TO,PRO
245586,11178,DET,PRO,VBZ,TO,V,no,one,needs,to,tell,DET_PRO,PRO_TO,TO_V,N
245587,11178,PRO,VBZ,TO,V,PRO,one,needs,to,tell,you,PRO_VBZ,VBZ_V,V_PRO,TO
245588,11178,VBZ,TO,V,PRO,CNJ,needs,to,tell,you,that,VBZ_TO,TO_PRO,PRO_CNJ,V
245589,11178,TO,V,PRO,CNJ,DET,to,tell,you,that,the,TO_V,V_CNJ,CNJ_DET,PRO
245590,11178,V,PRO,CNJ,DET,N,tell,you,that,the,way,V_PRO,PRO_DET,DET_N,CNJ
245591,11178,PRO,CNJ,DET,N,TO,you,that,the,way,to,PRO_CNJ,CNJ_N,N_TO,DET
245592,11178,CNJ,DET,N,TO,V,that,the,way,to,stop,CNJ_DET,DET_TO,TO_V,N
245593,11178,DET,N,TO,V,DET,the,way,to,stop,all,DET_N,N_V,V_DET,P
245594,11178,N,TO,V,DET,N,way,to,stop,all,bloom,N_TO,TO_DET,DET_N,V
245595,11178,TO,V,DET,N,V,to,stop,all,bloom,is,TO_V,V_N,N_V,DET
245596,11178,V,DET,N,V,TO,stop,all,bloom,is,to,V_DET,DET_V,V_TO,N
245597,11178,DET,N,V,TO,V,all,bloom,is,to,let,DET_N,N_TO,TO_V,V
245598,11178,N,V,TO,V,DET,bloom,is,to,let,the,N_V,V_V,V_DET,TO
245599,11178,V,TO,V,DET,N,is,to,let,the,blossoms,V_TO,TO_DET,DET_N,V
245600,11178,TO,V,DET,N,V,to,let,the,blossoms,go,TO_V,V_N,N_V,DET
245601,11178,V,DET,N,V,P,let,the,blossoms,go,to,V_DET,DET_V,V_P,N
245602,11178,DET,N,V,P,N,the,blossoms,go,to,seed,DET_N,N_P,P_N,V
245603,11178,N,V,P,N,.,blossoms,go,to,seed,.,N_V,V_N,N_.,P
245604,11178,V,P,N,.,end,go,to,seed,.,,V_P,P_.,._end,N
245605,11178,P,N,.,end,end,to,seed,.,,,P_N,N_end,end_end,.
250368,11392,start,start,CNJ,CNJ,PRO,,,but,if,you,start_start,start_CNJ,CNJ_PRO,CNJ
250369,11392,start,CNJ,CNJ,PRO,V,,but,if,you,know,start_CNJ,CNJ_PRO,PRO_V,CNJ
250370,11392,CNJ,CNJ,PRO,V,DET,but,if,you,know,The,CNJ_CNJ,CNJ_V,V_DET,PRO
250371,11392,CNJ,PRO,V,DET,ADJ,if,you,know,The,Real,CNJ_PRO,PRO_DET,DET_ADJ,V
250372,11392,PRO,V,DET,ADJ,N,you,know,The,Real,Thing,PRO_V,V_ADJ,ADJ_N,DET
250373,11392,V,DET,ADJ,N,",",know,The,Real,Thing,",",V_DET,DET_N,"N_,",ADJ
250374,11392,DET,ADJ,N,",",PRO,The,Real,Thing,",",you,DET_ADJ,"ADJ_,",",_PRO",N
250375,11392,ADJ,N,",",PRO,V,Real,Thing,",",you,know,ADJ_N,N_PRO,PRO_V,","
250376,11392,N,",",PRO,V,CNJ,Thing,",",you,know,that,"N_,",",_V",V_CNJ,PRO
250377,11392,",",PRO,V,CNJ,WH,",",you,know,that,what,",_PRO",PRO_CNJ,CNJ_WH,V
250378,11392,PRO,V,CNJ,WH,PRO,you,know,that,what,you,PRO_V,V_WH,WH_PRO,CNJ
250379,11392,V,CNJ,WH,PRO,V,know,that,what,you,are,V_CNJ,CNJ_PRO,PRO_V,WH
250380,11392,CNJ,WH,PRO,V,VG,that,what,you,are,hearing,CNJ_WH,WH_V,V_VG,PRO
250381,11392,WH,PRO,V,VG,V,what,you,are,hearing,is,WH_PRO,PRO_VG,VG_V,V
250382,11392,PRO,V,VG,V,ADV,you,are,hearing,is,only,PRO_V,V_V,V_ADV,N
250383,11392,V,VG,V,ADV,DET,are,hearing,is,only,a,V_VG,VG_ADV,ADV_DET,V
250384,11392,VG,V,ADV,DET,ADJ,hearing,is,only,a,clever,VG_V,V_DET,DET_ADJ,ADV
250385,11392,V,ADV,DET,ADJ,N,is,only,a,clever,imitation,V_ADV,ADV_ADJ,ADJ_N,DET
250386,11392,ADV,DET,ADJ,N,.,only,a,clever,imitation,.,ADV_DET,DET_N,N_.,ADJ
250387,11392,DET,ADJ,N,.,end,a,clever,imitation,.,,DET_ADJ,ADJ_.,._end,N
250388,11392,ADJ,N,.,end,end,clever,imitation,.,,,ADJ_N,N_end,end_end,.
251972,11464,start,start,P,VG,",",,,In,closing,",",start_start,start_VG,"VG_,",P
251973,11464,start,P,VG,",",NP,,In,closing,",",Mr.,start_P,"P_,",",_NP",N
251974,11464,P,VG,",",NP,NP,In,closing,",",Mr.,Barcus,P_VG,VG_NP,NP_NP,","
251975,11464,VG,",",NP,NP,ADV,closing,",",Mr.,Barcus,also,"VG_,",",_NP",NP_ADV,NP
251976,11464,",",NP,NP,ADV,VD,",",Mr.,Barcus,also,wished,",_NP",NP_ADV,ADV_VD,NP
251977,11464,NP,NP,ADV,VD,DET,Mr.,Barcus,also,wished,all,NP_NP,NP_VD,VD_DET,","
251978,11464,NP,ADV,VD,DET,DET,Barcus,also,wished,all,the,NP_ADV,ADV_DET,DET_DET,VD
251979,11464,ADV,VD,DET,DET,N,also,wished,all,the,Juniors,ADV_VD,VD_DET,DET_N,DET
251980,11464,VD,DET,DET,N,N,wished,all,the,Juniors,luck,VD_DET,DET_N,N_N,DET
251981,11464,DET,DET,N,N,P,all,the,Juniors,luck,in,DET_DET,DET_N,N_P,N
251982,11464,DET,N,N,P,PRO,the,Juniors,luck,in,their,DET_N,N_P,P_PRO,N
251983,11464,N,N,P,PRO,N,Juniors,luck,in,their,Class,N_N,N_PRO,PRO_N,P
251984,11464,N,P,PRO,N,.,luck,in,their,Class,.,N_P,P_N,N_.,DET
251985,11464,P,PRO,N,.,end,in,their,Class,.,,P_PRO,PRO_.,._end,N
251986,11464,PRO,N,.,end,end,their,Class,.,,,PRO_N,N_end,end_end,.
252009,11467,start,start,DET,VD,DET,,,This,gave,the,start_start,start_VD,VD_DET,DET
252010,11467,start,DET,VD,DET,N,,This,gave,the,Juniors,start_DET,DET_DET,DET_N,VD
252011,11467,DET,VD,DET,N,DET,This,gave,the,Juniors,the,DET_VD,VD_N,N_DET,DET
252012,11467,VD,DET,N,DET,N,gave,the,Juniors,the,use,VD_DET,DET_DET,DET_N,N
252013,11467,DET,N,DET,N,P,the,Juniors,the,use,of,DET_N,N_N,N_P,DET
252014,11467,N,DET,N,P,DET,Juniors,the,use,of,the,N_DET,DET_P,P_DET,N
252015,11467,DET,N,P,DET,ADJ,the,use,of,the,entire,DET_N,N_DET,DET_ADJ,P
252016,11467,N,P,DET,ADJ,N,use,of,the,entire,ring,N_P,P_ADJ,ADJ_N,DET
252017,11467,P,DET,ADJ,N,P,of,the,entire,ring,at,P_DET,DET_N,N_P,ADJ
252018,11467,DET,ADJ,N,P,DET,the,entire,ring,at,the,DET_ADJ,ADJ_P,P_DET,N
252019,11467,ADJ,N,P,DET,N,entire,ring,at,the,show,ADJ_N,N_DET,DET_N,P
252020,11467,N,P,DET,N,--,ring,at,the,show,--,N_P,P_N,N_--,DET
252021,11467,P,DET,N,--,DET,at,the,show,--,a,P_DET,DET_--,--_DET,N
252022,11467,DET,N,--,DET,ADJ,the,show,--,a,great,DET_N,N_DET,DET_ADJ,P
252023,11467,N,--,DET,ADJ,N,show,--,a,great,advantage,N_--,--_ADJ,ADJ_N,DET
252024,11467,--,DET,ADJ,N,P,--,a,great,advantage,to,--_DET,DET_N,N_P,ADJ
252025,11467,DET,ADJ,N,P,PRO,a,great,advantage,to,them,DET_ADJ,ADJ_P,P_PRO,N
252026,11467,ADJ,N,P,PRO,.,great,advantage,to,them,!,ADJ_N,N_PRO,PRO_.,P
252027,11467,N,P,PRO,.,.,advantage,to,them,!,!,N_P,P_.,._.,PRO
252028,11467,P,PRO,.,.,end,to,them,!,!,,P_PRO,PRO_.,._end,.
252029,11467,PRO,.,.,end,end,them,!,!,,,PRO_.,._end,end_end,.
252500,11493,start,start,NP,NP,",",,,Karen,Marcmann,",",start_start,start_NP,"NP_,",NP
252501,11493,start,NP,NP,",",N,,Karen,Marcmann,",",age,start_NP,"NP_,",",_N",NP
252502,11493,NP,NP,",",N,NUM,Karen,Marcmann,",",age,16,NP_NP,NP_N,N_NUM,","
252503,11493,NP,",",N,NUM,",",Marcmann,",",age,16,",","NP_,",",_NUM","NUM_,",N
252504,11493,",",N,NUM,",",NP,",",age,16,",",Trapp,",_N","N_,",",_NP",NUM
252505,11493,N,NUM,",",NP,",",age,16,",",Trapp,",",N_NUM,NUM_NP,"NP_,",","
